# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries from original 2MASS XSC that have been rejected -- stellar sources, pieces of galaxies, artifacts, etc.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs notes
09054355+1820276 136.431534  18.341015 209.985214  37.635426 10.626 11.007 11.911 10.552 10.954 11.878 0.041 0.035 0.027 0.035 0.033 0.030 0.034 1.555 1.726 0.500 40    LM 0666 rjc_v0
09102011+0702165 137.583832   7.037951 223.265839  33.987602  7.098  7.443  7.961  7.022  7.385  7.879 0.019 0.015 0.011 0.019 0.015 0.011 0.043 1.988 2.123 0.760 98    NN 0666 del_v3
09111950+6001188 137.831085  60.021847 155.528152  40.531872  9.357 10.521 11.218  9.357 10.521 11.218 0.066 0.132 0.084 0.033 0.066 0.048 0.042 2.009 2.008 0.600 40    LM 0222 rjc_v0
09134303+7628312 138.429245  76.475334 136.254929  34.361515  8.836  9.142  9.851  8.769  9.089  9.778 0.017 0.016 0.012 0.018 0.017 0.012 0.027 1.790 1.938 0.400 98    NN 0000 del_v3
09134430-6938238 138.434601 -69.640007 285.950867 -14.321066  9.053  9.751 10.793  9.053  9.751 10.793 0.036 0.031 0.032 0.018 0.016 0.017 0.095 1.630 1.630 1.000 40    LM 0111 rjc_v0
09135114+7629035 138.462906  76.484276 136.240860  34.364113  8.919  9.196  9.979  8.919  9.196  9.979 0.030 0.024 0.019 0.015 0.012 0.010 0.027 2.041 2.041 0.140 40    LM 0122 rjc_v0
09135561-6939089 138.481613 -69.652405 285.971649 -14.317100  8.816  9.688 10.079  8.816  9.688 10.079 0.038 0.044 0.028 0.019 0.022 0.014 0.096 1.822 1.822 0.520 40    LM 0122 rjc_v0
09182511-3917188 139.604752 -39.288555 264.253082   7.085606 11.334 11.655 12.459 11.149 11.451 12.174 0.077 0.048 0.045 0.069 0.048 0.045 0.298 1.220 1.478 0.720 40    LM 0222 rjc_v0
09194108+8021351 139.921646  80.359718 132.063065  32.640755 10.787 10.685 12.289 10.787 10.685 12.289 0.425 0.257 0.340 0.213 0.132 0.221 0.025 1.942 1.942 1.000 22    JH 0222 rjc_v0
09211152+6415117 140.297836  64.253204 149.785858  40.220989 11.242 11.468 12.156 11.056 11.312 12.016 0.058 0.038 0.029 0.050 0.039 0.032 0.055 1.566 1.761 0.280 98    NN 0000 del_v3
09233708-1026104 140.904541 -10.436128 242.397614  27.181633 11.578 11.837 12.352 11.578 11.837 12.352 0.112 0.058 0.044 0.064 0.037 0.029 0.041 1.470 1.470 0.500 98    NN 0111 del_v3
09275371+5722316 141.973831  57.375443 158.064316  43.373028 10.417 10.651 11.379 10.278 10.566 11.253 0.045 0.038 0.025 0.043 0.037 0.031 0.038 1.689 1.852 0.340 98    NN 0666 del_v3
09275602+5722204 141.983414  57.372387 158.066086  43.378891 11.614 11.989 12.615 11.419 11.626 12.180 0.070 0.063 0.040 0.067 0.111 0.036 0.038 1.164 1.407 0.100 98    NN 0000 del_v3
09282727-6047468 142.113647 -60.796402 280.553772  -7.079987 10.923 11.187 11.962 10.923 11.187 11.962 0.048 0.027 0.027 0.024 0.015 0.017 0.282 1.173 1.172 0.740 40    LM 0222 rjc_v0
09305599-3541034 142.733353 -35.684296 263.446503  11.388404 11.159 11.404 12.085 11.159 11.404 12.085 0.112 0.067 0.056 0.058 0.039 0.036 0.212 1.461 1.460 0.420 40    LM 0666 rjc_v0
09334609+1009093 143.442093  10.152528 223.176926  40.563213  8.857  9.114  9.783  8.700  8.948  9.588 0.036 0.023 0.021 0.033 0.022 0.020 0.031 1.714 1.869 0.820 98    NN 0333 del_v3
09402777-3250318 145.115921 -32.842243 262.901428  14.804644 10.424 10.759 11.504 10.424 10.746 11.293 0.052 0.035 0.030 0.100 0.033 0.028 0.133 1.665 1.799 0.280 40    LM 0244 rjc_v0
09404610-4112329 145.192078 -41.209137 268.699615   8.655248 10.387 10.877 11.546 10.387 10.583 11.546 0.520 0.462 0.379 0.531 0.431 0.236 0.454 1.985 2.088 1.000 98    NN 0111 del_v3
09423511+5851043 145.646362  58.851269 155.189987  44.664391  7.945  8.205  8.880  7.879  8.145  8.819 0.013 0.011 0.008 0.013 0.011 0.008 0.017 1.808 1.954 0.680 98    NN 0111 del_v3
09462109+0304168 146.587906   3.071340 233.241379  39.698208 10.135 10.478 11.206 10.016 10.423 11.150 0.040 0.028 0.024 0.035 0.027 0.027 0.049 1.592 1.757 0.300 98    NN 0000 del_v3
09472014-3720443 146.833832 -37.345718 267.074615  12.395258 11.653 12.037 12.702 11.651 12.037 12.700 0.076 0.056 0.046 0.189 0.072 0.167 0.164 1.446 1.615 0.180 98    NN 0111 del_v3
09474417-3250247 146.933945 -32.840179 264.071320  15.834205 10.664 10.977 11.673 10.451 10.538 11.200 0.073 0.053 0.040 0.064 0.042 0.034 0.130 1.447 1.700 0.440 40    LM 0112 rjc_v0
09542870-1838247 148.619568 -18.640213 254.873306  27.285172 10.128 10.388 11.023  9.943 10.388 10.775 0.060 0.034 0.027 0.057 0.017 0.027 0.046 1.537 1.777 0.760 40    LM 0666 rjc_v0
09581167-2934465 149.548630 -29.579531 263.594452  19.761496 11.505 11.832 12.347 11.230 11.690 12.347 0.110 0.077 0.052 0.100 0.090 0.035 0.093 1.504 1.747 0.560 98    NN 0000 del_v3
09582294+3222001 149.595581  32.366692 194.228546  52.326866 10.179 10.551 11.214 10.179 10.551 11.214 0.039 0.037 0.024 0.019 0.019 0.014 0.015 1.573 1.573 0.760 40    LM 0666 rjc_v0
09592884-6443590 149.870193 -64.733002 285.851624  -7.728776 11.739 12.185 12.604 11.738 12.184 12.558 0.150 0.119 0.082 0.167 0.180 0.107 0.229 1.519 1.664 0.260 98    NN 0222 del_v3
10000634-3133337 150.026459 -31.559303 265.276093  18.510567  8.974  9.280  9.922  8.974  9.280  9.922 0.063 0.049 0.038 0.032 0.025 0.019 0.069 1.948 1.948 0.500 40    LM 0111 rjc_v0
10031628-6458309 150.817902 -64.975220 286.322906  -7.676871 11.235 11.448 12.072 10.654 10.475 12.066 0.139 0.090 0.072 0.121 0.062 0.130 0.229 1.346 1.687 0.320 98    NN 0133 del_v3
10031907+6844022 150.829468  68.733925 141.899643  41.659969  7.404  7.645  8.209  7.273  7.511  8.062 0.022 0.016 0.012 0.021 0.016 0.012 0.067 2.038 2.171 0.760 98    NN 0666 del_v3
10041561-7455527 151.065475 -74.931305 292.571991 -15.533550 11.213 11.560 12.266 10.889 11.560 12.264 0.096 0.061 0.047 0.089 0.036 0.071 0.324 1.607 1.916 0.800 40    LM 0666 rjc_v0
10042956+1446017 151.123169  14.767285 221.950867  49.324619 11.675 12.135 12.960 11.509 12.134 12.881 0.071 0.060 0.049 0.068 0.077 0.063 0.032 1.417 1.656 0.220 40    NN 0666 del_v3
10100562-0828389 152.523590  -8.477688 249.505264  37.140312 10.097 10.349 11.963 10.096 10.349 11.794 0.055 0.033 0.051 0.073 0.017 0.057 0.053 1.462 1.614 9.999 98    NN 0004 del_v3
10111613-3541460 152.817032 -35.696129 269.874725  16.694984 10.984 11.362 11.964 10.741 11.238 11.674 0.099 0.065 0.046 0.086 0.073 0.048 0.130 1.453 1.722 0.680 40    LM 0666 rjc_v0
10153100+1402281 153.879059  14.041105 224.773102  51.425758 11.592 11.900 12.670 11.452 11.820 12.559 0.060 0.055 0.038 0.060 0.061 0.044 0.052 1.480 1.671 0.220 98    NN 0000 del_v3
10161714-3334098 154.071426 -33.569382 269.420715  19.019056 10.252 10.510 11.189 10.058 10.291 10.960 0.057 0.036 0.027 0.057 0.036 0.031 0.096 1.453 1.729 0.680 40    LM 0666 rjc_v0
10190493+4627121 154.770798  46.453568 169.823212  54.398899 11.272 11.550 12.202 11.149 11.383 12.067 0.051 0.047 0.029 0.047 0.047 0.033 0.011 1.236 1.457 0.720 98    NN 0000 del_v3
10221991+2134305 155.582916  21.575123 213.964233  55.714340 10.192 10.734 11.474 10.106 10.660 11.354 0.036 0.036 0.024 0.034 0.037 0.029 0.024 1.623 1.786 0.420 40    LM 0666 rjc_v0
10244248-3918213 156.177030 -39.305890 274.301330  15.273180 10.805 11.346 12.287 10.467 10.929 11.803 0.013 0.012 0.012 0.009 0.010 0.010 0.102 0.699 0.981 0.420 22    JH 0000 del_v4
10250807+1709182 156.283707  17.154987 221.657639  54.827385 10.832 10.918 11.573 10.832 10.918 11.573 0.081 0.054 0.032 0.040 0.029 0.019 0.032 1.623 1.624 0.460 40    LM 0111 rjc_v0
10294193+6850407 157.424683  68.844810 139.666000  43.389553 11.478 11.790 12.616 11.405 11.695 12.521 0.058 0.046 0.034 0.055 0.049 0.045 0.045 1.428 1.630 0.200 98    NN 0000 del_v3
10300616+3828108 157.525803  38.469566 182.838348  58.443058 11.335 11.692 12.444 11.186 11.578 12.341 0.068 0.055 0.040 0.060 0.058 0.046 0.015 1.405 1.597 0.320 98    NN 0000 del_v3
10303824-2837137 157.659420 -28.620440 269.045260  24.832630 11.312 12.046 12.191 11.312 12.046 12.191 1.067 0.812 0.526 9.999 9.999 0.678 0.064 2.023 2.124 1.000 22    NN 0222 del_v4
10323195+5424035 158.133148  54.400982 156.196259  52.802769 10.712 10.967 11.611 10.429 10.704 11.407 0.027 0.024 0.021 0.040 0.035 0.028 0.012 1.346 1.653 0.740 40    LM Z000 rjc_v0
10353610-3941026 158.900406 -39.684074 276.356079  16.076637 11.179 12.779 12.722 11.177 12.779 12.722 0.168 0.270 0.110 0.169 0.399 0.076 0.089 1.447 1.602 1.000 22    LM 0000 rjc_v0
10375961-8105312 159.498688 -81.092026 297.746033 -19.595573 11.750 12.127 12.634 11.186 12.127 12.634 0.112 0.069 0.054 0.099 0.084 0.037 0.104 1.556 1.937 0.780 98    NN 0666 del_v3
10384585+5330118 159.691086  53.503334 156.604233  54.062553  8.709  8.960  9.565  8.619  8.876  9.460 0.015 0.013 0.009 0.015 0.013 0.009 0.022 1.616 1.778 0.740 40    LM 0133 rjc_v0
10384596+5330050 159.691513  53.501461 156.606644  54.063808  8.637  8.861  9.501  8.573  8.770  9.413 0.016 0.014 0.009 0.016 0.013 0.009 0.022 1.687 1.842 0.760 98    NN 0122 del_v3
10393183+0506266 159.882721   5.107493 242.033752  51.649731 10.815 11.197 11.859 10.685 11.028 11.717 0.053 0.033 0.028 0.047 0.032 0.030 0.026 1.225 1.460 0.820 98    NN 0000 del_v3
10411138-7321568 160.297333 -73.365852 293.840027 -12.837179 11.591 11.920 12.497 11.591 11.920 12.497 0.122 0.090 0.067 0.166 0.058 0.101 0.178 1.663 1.805 0.320 98    NN 0114 del_v3
10421741-0022318 160.572678  -0.375533 249.157898  48.536469 11.421 11.524 12.344 11.200 11.148 12.084 0.096 0.044 0.040 0.086 0.037 0.042 0.047 1.279 1.545 0.620 40    LM 0161 rjc_v0
10480915+4819598 162.038223  48.333027 163.030838  58.074215 11.257 11.605 12.321 11.174 11.500 12.178 0.046 0.033 0.025 0.044 0.034 0.031 0.016 1.207 1.435 0.460 98    NN 0000 del_v3
10495593+3259264 162.482971  32.990765 192.899963  63.162876 11.335 11.638 12.191 10.899 10.988 11.459 0.061 0.041 0.028 0.068 0.043 0.028 0.025 1.292 1.738 0.480 40    LM 0666 rjc_v0
10505297+1325197 162.720718  13.422108 232.851852  58.703876  8.939  9.152  9.818  8.939  9.152  9.796 0.018 0.011 0.009 0.009 0.011 0.008 0.028 1.572 1.739 0.860 40    LM 0666 rjc_v0
10544101-2104113 163.670837 -21.069717 269.579742  34.132061 10.390 10.656 11.271 10.239 10.542 11.160 0.050 0.037 0.024 0.044 0.036 0.026 0.055 1.563 1.780 0.580 40    LM 0666 rjc_v0
10550025-1936074 163.751130 -19.602010 268.714510  35.418440 11.127 11.608 12.324 10.808 11.281 12.080 0.067 0.054 0.040 0.064 0.060 0.053 0.038 1.320 1.632 0.880 22    JH 0000 del_v4
10581325-5026492 164.555206 -50.446949 285.157410   8.476291 10.131 10.379 11.166 10.131 10.379 11.166 0.055 0.045 0.034 0.028 0.023 0.019 0.288 1.640 1.640 0.520 40    LM 0166 rjc_v0
11000954+4544210 165.039902  45.739147 165.394669  61.153736 10.963 11.277 11.995 10.963 11.277 11.995 0.054 0.039 0.030 0.027 0.022 0.019 0.011 1.672 1.673 0.180 40    LM 0000 rjc_v0
11011449-2243525 165.310420 -22.731340 272.173460  33.476130 11.625 12.159 12.885 11.073 11.878 12.774 0.107 0.083 0.062 0.133 0.154 0.168 0.068 1.279 1.707 0.760 22    ZC 0333 del_v4
11074847-4631334 166.951996 -46.525940 284.983887  12.702851  8.340  8.574  9.208  8.340  8.574  9.208 0.030 0.022 0.019 0.015 0.011 0.010 0.137 2.026 2.026 0.380 98    NN 0221 del_v3
11075254-4632334 166.968994 -46.542690 285.001709  12.692152 10.284 10.510 11.190 10.284 10.510 11.190 0.086 0.061 0.048 0.043 0.031 0.027 0.137 1.548 1.548 0.680 40    NN 0222 rjc_v0
11095234+6217193 167.468048  62.288776 141.420074  51.038105 11.506 11.781 12.494 11.300 11.610 12.282 0.068 0.048 0.033 0.061 0.049 0.035 0.015 1.378 1.633 0.340 98    NN 0666 del_v3
11095583-3732345 167.482758 -37.542900 281.574219  21.083151  8.690  8.696  9.687  8.690  8.696  9.687 0.020 0.012 0.013 0.010 0.006 0.006 0.101 1.737 1.737 0.500 40    LM 0666 rjc_v0
11095765-3732210 167.490204 -37.539177 281.578369  21.088963  7.241  7.508  8.146  7.167  7.440  8.072 0.017 0.013 0.011 0.017 0.013 0.010 0.101 1.965 2.102 0.800 98    NN 0111 del_v3
11112561+5544358 167.856705  55.743229 148.247177  56.192444  9.920  9.523 12.190  9.920  9.523 12.190 0.084 0.057 0.139 0.042 0.029 0.089 0.016 1.925 1.925 0.480 22    JH 0666 rjc_v0
11205670+1938024 170.236237  19.633873 227.976929  67.965500 10.828 11.155 11.867 10.828 11.153 11.781 0.040 0.032 0.023 0.092 0.032 0.024 0.023 1.571 1.712 0.220 98    NN 0000 del_v3
11251284-2644121 171.303543 -26.736732 280.094208  32.282795  8.699  8.905  9.618  8.527  8.747  9.443 0.031 0.026 0.020 0.033 0.028 0.021 0.056 1.982 2.152 0.320 98    NN 0666 del_v3
11263106+1652010 171.629395  16.866917 236.131836  67.850517  9.785 10.194 10.901  9.785 10.194 10.901 0.024 0.026 0.015 0.012 0.013 0.008 0.026 1.631 1.632 0.400 40    LM 0111 rjc_v0
11273340+3603361 171.889404  36.060120 181.090164  70.088852 10.810 11.163 11.885 10.719 11.089 11.794 0.035 0.027 0.020 0.040 0.029 0.024 0.026 1.436 1.622 0.280 98    NN 0000 del_v3
11280164+2930527 172.006744  29.514587 200.616806  71.514198 11.139 11.438 12.125 10.793 11.028 11.782 0.068 0.052 0.037 0.066 0.054 0.045 0.022 1.338 1.695 0.380 98    NN 0666 del_v3
11282505+0924272 172.104401   9.407524 251.139114  63.581860  9.613  9.878 10.601  9.522  9.846 10.558 0.038 0.022 0.020 0.035 0.024 0.022 0.032 1.893 2.044 0.240 40    LM 0666 rjc_v0
11300463-7807296 172.519714 -78.124916 298.666138 -15.932410 11.300 11.579 12.135 11.250 11.579 11.942 0.098 0.057 0.044 0.093 0.034 0.044 0.226 1.241 1.463 0.660 22    LM 0222 rjc_v0
11302381-1434526 172.599260 -14.581300 275.221620  43.886850 11.333 11.887 12.479 10.857 11.686 12.248 0.135 0.080 0.068 0.092 0.082 0.073 0.041 1.373 1.558 0.740 22    NN 0333 del_v4
11362964-0950330 174.123489  -9.842663 274.212708  48.805042 11.645 11.918 12.575 11.132 11.918 12.575 0.129 0.070 0.058 0.105 0.097 0.073 0.030 1.507 1.790 0.360 98    NN 0222 del_v3
11395069+6813310 174.961349  68.225334 132.652451  47.529144 10.927 12.465 14.091 10.561 12.188 14.091 0.072 0.116 0.196 0.071 0.179 0.464 0.009 1.401 1.688 1.000 25    LM 0222 rjc_v0
11405341+5612073 175.222565  56.202026 141.634521  58.290661 11.597 11.769 12.379 11.591 11.551 12.084 0.078 0.047 0.034 0.089 0.045 0.032 0.013 1.502 1.681 0.580 98    NN 0000 del_v3
11460182-5622504 176.507599 -56.380718 293.924713   5.342895 11.175 11.676 12.371 10.631 11.676 12.371 0.105 0.072 0.075 0.119 0.044 0.049 0.387 1.378 1.776 0.660 40    ND 0222 rjc_v0
11460639-5623274 176.526657 -56.390965 293.937561   5.335635  8.237  8.559  9.176  7.973  8.070  8.713 0.031 0.023 0.026 0.054 0.033 0.040 0.386 1.900 2.163 0.600 98    NN 0222 del_v3
11484864+0959446 177.202650   9.995820 259.211210  67.384250 11.496 11.668 12.328 11.058 11.668 12.328 0.197 0.111 0.084 0.135 0.131 0.055 0.036 1.653 1.742 0.360 22    NN 0000 del_v4
11494575-1218495 177.440690 -12.313780 280.175840  47.814270 11.706 12.292 12.991 11.248 12.272 12.417 0.105 0.081 0.073 0.110 0.150 0.088 0.042 1.356 1.719 0.640 22    NN 0133 del_v4
11555763+0645030 178.990143   6.750814 267.534973  65.734497  9.723  9.956 10.695  9.655  9.873 10.632 0.036 0.021 0.019 0.035 0.020 0.020 0.013 1.576 1.744 0.380 40    LM 0666 rjc_v0
11564096+3201334 179.170670  32.025917 187.278961  77.139915 11.351 11.712 12.501 11.225 11.517 12.385 0.063 0.041 0.036 0.055 0.043 0.040 0.031 1.547 1.727 0.320 98    NN 0666 del_v3
11564416+3201181 179.184052  32.021729 187.280304  77.152000  9.043  9.363 10.120  8.971  9.363 10.046 0.017 0.012 0.011 0.016 0.006 0.016 0.030 1.820 1.971 0.240 98    NN 0555 del_v3
11584734+1542534 179.697174  15.715001 253.301773  73.279190 11.260 11.562 12.276 11.144 11.423 12.129 0.040 0.030 0.022 0.037 0.031 0.026 0.056 1.250 1.471 0.560 40    LM 0000 rjc_v0
11595027+3936067 179.959763  39.601887 160.347122  73.554550 11.593 11.891 12.603 11.495 11.748 12.482 0.057 0.045 0.030 0.056 0.048 0.037 0.023 1.274 1.486 0.440 98    NN 0000 del_v3
12023450+2049021 180.643723  20.817150 239.817627  77.188164 11.738 12.042 12.898 11.738 12.042 12.898 0.089 0.064 0.058 0.203 0.042 0.074 0.026 1.554 1.714 0.160 98    NN 0000 del_v3
12040147+2013489 181.006180  20.230299 242.865860  77.149734 10.894 11.223 11.918 10.682 10.997 11.678 0.065 0.044 0.032 0.055 0.041 0.033 0.035 1.428 1.666 0.960 40    LM 0222 rjc_v0
12064443+1742419 181.685150  17.711750 253.017700  76.037109 10.789 11.097 11.831 10.789 11.097 11.831 0.046 0.037 0.025 0.052 0.021 0.015 0.039 1.677 1.816 0.240 40    LM 0000 rjc_v0
12073681+0241319 181.903381   2.692209 277.837128  63.408314 11.444 11.582 12.302 11.237 11.115 11.933 0.096 0.053 0.045 0.090 0.042 0.046 0.022 1.487 1.673 0.360 40    LM 0666 rjc_v0
12092960+4341171 182.373337  43.688011 147.302399  71.401260  9.077  9.289  9.955  9.030  9.202  9.905 0.018 0.015 0.010 0.017 0.014 0.010 0.014 1.612 1.774 0.760 40    LM 0666 rjc_v0
12103463+5818144 182.644180  58.304062 133.063263  58.013367 10.895 11.243 12.040 10.856 10.819 11.613 0.032 0.028 0.020 0.046 0.030 0.025 0.020 1.464 1.881 0.220 40    LM 0222 rjc_v0
12110210-5405484 182.758740 -54.096750 296.966030   8.306340 11.654 11.945 12.608 11.170 11.667 12.136 0.114 0.080 0.068 0.134 0.127 0.096 0.207 1.276 1.693 0.640 22    NN 0133 del_v4
12114097-3832588 182.920746 -38.549667 294.457001  23.666979 10.769 11.216 11.904 10.628 10.663 11.544 0.051 0.038 0.028 0.061 0.038 0.034 0.083 1.494 1.861 0.200 40    LM 0222 rjc_v0
12125263+0117468 183.219284   1.296434 281.626953  62.562233  8.966  9.233  9.877  8.920  9.194  9.838 0.023 0.014 0.013 0.024 0.016 0.014 0.033 1.633 1.795 0.360 40    LM 0666 rjc_v0
12170789+0340563 184.282944   3.682357 282.181152  65.162659 11.178 11.502 12.037 11.178 11.502 12.037 0.095 0.076 0.044 0.049 0.045 0.027 0.018 1.815 1.815 0.420 98    NN 0020 del_v3
12170941+1519330 184.289291  15.325816 267.180084  75.760063 10.151 10.403 11.117 10.026 10.331 10.990 0.039 0.030 0.020 0.035 0.027 0.020 0.030 1.480 1.677 0.720 40    LM 0661 rjc_v0
12184303+6553530 184.679321  65.898079 128.217346  50.893208  8.335  8.603  9.324  8.245  8.516  9.229 0.017 0.016 0.016 0.022 0.020 0.018 0.026 1.983 2.213 0.220 40    LM Z111 rjc_v1
12184305+6553540 184.679443  65.898300 128.217194  50.893005  8.333  8.593  9.324  8.333  8.593  9.324 0.016 0.013 0.011 0.008 0.007 0.005 0.026 2.042 2.042 0.240 40    LM 0000 rjc_v0
12195619+0520201 184.984146   5.339001 282.535980  66.954964 10.336 10.526 11.119 10.188 10.417 10.907 0.065 0.039 0.029 0.061 0.038 0.030 0.019 1.584 1.814 0.740 40    LM 0666 rjc_v0
12200679+2916502 185.028336  29.280664 193.784149  82.772690  7.260  7.482  8.140  7.174  7.398  8.059 0.011 0.009 0.007 0.011 0.009 0.007 0.029 1.866 2.008 0.900 98    NN 0000 del_v3
12223197+2953430 185.633286  29.895350 187.689285  83.075447  7.649  7.902  8.586  7.550  7.810  8.495 0.015 0.013 0.010 0.015 0.017 0.012 0.025 2.042 2.176 0.506 98    NN 0111 del_v3
12240308-4151523 186.012848 -41.864563 297.485321  20.717373 11.396 11.863 12.800 11.362 11.668 12.318 0.043 0.031 0.032 0.052 0.036 0.032 0.098 0.964 1.345 0.460 25    LM 0000 del_v3
12242438-7550319 186.101868 -75.842064 301.238831 -13.059219 11.008 11.328 12.088 10.731 11.328 12.088 0.091 0.061 0.050 0.080 0.035 0.362 0.342 1.543 1.865 0.340 40    LM 0666 rjc_v0
12260374+1306432 186.515671  13.112113 278.734161  74.778839  9.663  9.856 10.677  9.344  9.856 10.603 0.035 0.031 0.023 0.044 0.015 0.038 0.029 1.718 2.075 0.340 40    LM 0111 rjc_v0
12265891+1502197 186.745407  15.038814 276.501373  76.638763 10.384 10.571 11.303 10.274 10.420 11.180 0.035 0.028 0.020 0.032 0.025 0.020 0.033 1.362 1.572 0.320 40    LM 0666 rjc_v0
12272999+0849295 186.874980   8.824860 284.635960  70.841360 11.259 11.671 12.325 11.257 11.670 12.324 0.095 0.066 0.051 0.121 0.168 0.103 0.024 1.487 1.645 0.360 22    NN 0000 del_v4
12273867-0816514 186.911102  -8.280943 292.853485  54.124493 10.313 10.638 11.296 10.250 10.540 11.157 0.047 0.034 0.022 0.044 0.032 0.022 0.029 1.447 1.646 0.620 40    LM 0666 rjc_v0
12284362+1145261 187.181763  11.757256 282.705688  73.730530  9.175  9.352 10.164  9.094  9.295 10.115 0.032 0.021 0.019 0.035 0.034 0.019 0.030 1.849 1.994 0.260 98    NN 0004 del_v3
12284424+1145408 187.184357  11.761333 282.709686  73.735199 10.107 10.269 10.947 10.022  9.955 10.781 0.042 0.027 0.020 0.046 0.037 0.023 0.030 1.561 1.882 0.240 40    LM 0222 rjc_v0
12285683+0334183 187.236908   3.571692 289.110443  65.838020 10.150 10.388 11.006 10.150 10.388 11.006 0.050 0.029 0.024 0.025 0.015 0.013 0.022 1.373 1.373 1.000 40    LM 0000 rjc_v0
12290653-4040199 187.277313 -40.672310 298.367950  22.001478 11.564 11.852 12.593 11.383 11.726 12.440 0.079 0.049 0.042 0.075 0.056 0.049 0.081 1.530 1.737 0.200 98    NN 0333 del_v3
12300217+1338111 187.509094  13.636464 281.544250  75.611870  7.400  7.636  8.314  7.341  7.580  8.252 0.013 0.011 0.009 0.013 0.012 0.010 0.032 1.934 2.072 0.840 98    NN 0666 del_v3
12304271+1221352 187.677930  12.359750 283.715330  74.452940 10.790 10.825 11.575 10.789 10.825 11.568 0.081 0.059 0.039 0.080 0.031 0.047 0.023 1.584 1.720 0.440 22    JH 0222 del_v4
12330668+8233506 188.278290  82.563995 123.650948  34.538807 10.870 11.431 11.443 10.844 11.398 11.368 0.030 0.028 0.012 0.029 0.031 0.017 0.135 1.041 1.317 0.900 30    LM 0111 rjc_v0
12334020+0910395 188.417496   9.177622 288.940155  71.564980 10.644 10.934 11.592 10.353 10.727 11.411 0.078 0.055 0.039 0.078 0.063 0.051 0.021 1.549 1.866 0.460 40    LM 0666 rjc_v0
12340796-0947562 188.533203  -9.798766 295.863708  52.835274 11.731 12.194 12.725 11.578 11.856 12.319 0.087 0.068 0.043 0.091 0.070 0.048 0.034 1.111 1.402 0.540 98    NN 0000 del_v3
12363409+2556109 189.142090  25.936430 231.811081  86.467155 10.523 10.811 11.635 10.056 10.242 11.070 0.049 0.048 0.034 0.063 0.059 0.048 0.016 1.441 1.811 9.999 40    LM 0000 rjc_v0
12384092-4212510 189.670486 -42.214211 300.409241  20.595047 11.235 11.503 12.170 11.235 11.503 12.170 0.100 0.062 0.050 0.053 0.037 0.032 0.122 1.681 1.681 0.300 98    NN 0111 del_v3
12395091-4106089 189.962006 -41.102592 300.582123  21.716265 10.467 10.749 11.455 10.467 10.636 11.315 0.063 0.038 0.031 0.072 0.033 0.030 0.151 1.646 1.775 0.380 40    LM 0222 rjc_v0
12413292+4107257 190.387268  41.123848 130.574203  75.857452 11.705 12.082 12.620 11.704 12.082 12.620 0.113 0.086 0.058 0.126 0.108 0.039 0.021 1.461 1.614 0.560 40    ND 0222 rjc_v0
12422507-0702456 190.604553  -7.045919 298.952759  55.756069 11.251 11.461 12.207 11.070 10.922 11.878 0.098 0.050 0.041 0.084 0.039 0.038 0.030 1.394 1.617 0.360 40    LM 0111 rjc_v0
12425235+1315271 190.718201  13.257473 294.294769  75.985291  8.909  9.131  9.751  8.796  9.019  9.628 0.026 0.021 0.014 0.024 0.020 0.014 0.026 1.658 1.816 0.720 98    NN 0000 del_v3
12461005+3043546 191.541946  30.731884 140.361572  86.216583 10.521 10.893 11.726 10.385 10.730 11.522 0.031 0.028 0.021 0.029 0.026 0.025 0.016 1.371 1.568 0.240 98    NN 0000 del_v3
12461608+0820457 191.566956   8.346050 298.965210  71.177887 11.683 11.882 12.717 11.355 11.562 12.255 0.097 0.053 0.052 0.101 0.060 0.057 0.023 1.210 1.596 0.620 98    NN 0222 del_v3
12494210+2653266 192.425690  26.891064 244.381073  89.546455 10.556 10.852 11.552 10.379 10.718 11.427 0.036 0.027 0.021 0.034 0.029 0.024 0.012 1.310 1.564 0.760 40    LM 0000 rjc_v0
12495017+0251105 192.459137   2.852900 301.959351  65.721550 10.350 10.568 11.285 10.169 10.568 11.285 0.063 0.038 0.031 0.054 0.019 0.018 0.034 1.731 1.913 0.180 40    LM 0000 rjc_v0
12500721+7252281 192.530197  72.874535 123.067329  44.253525  8.163  8.423  9.097  8.111  8.364  9.028 0.020 0.015 0.013 0.020 0.015 0.013 0.020 1.775 1.925 0.900 98    NN 0000 del_v3
12501062+7252561 192.544128  72.882240 123.061523  44.245842 10.940 11.232 11.846 10.817 11.232 11.840 0.074 0.051 0.038 0.064 0.029 0.045 0.020 1.297 1.507 1.000 40    LM 0666 rjc_v0
12523798-3901518 193.158295 -39.030979 303.185669  23.840178 11.367 11.546 12.216 11.027 11.546 12.216 0.085 0.043 0.038 0.081 0.052 0.025 0.094 1.465 1.775 0.380 98    NN 0222 del_v3
12524473+1550289 193.186340  15.841409 304.537933  78.708984 10.917 11.117 11.841 10.917 11.117 11.841 0.077 0.064 0.039 0.039 0.035 0.024 0.026 1.975 1.975 0.300 98    NN 0666 del_v3
